Reaction_ID,Year,Reaction_Class,metal,label_Ca,label_Cb,label_SA,label_joint,Ca==Cb,expected_SA,Ca_CIP_rdkit,Cb_CIP_rdkit,aldol_core_found,n_stereocenters_total,all_stereocenters,product_smiles,reaction_smiles
10055362,2004,AsymmetricDouble,Li,0,0,0,0,True,1,?,?,False,4,"[(0, '?'), (1, 'S'), (8, '?'), (10, 'R')]",[H][C:1]1([C@:2]([H])([O:3][H])/[C:4]([H])=[C:5]([H])/[C:6]([H])=[C:7](/[H])[C:8]([H])([H])[H])[C:9]([H])([O:10][H])[C@:11]([H])([C:12]([H])([H])[H])[O:13][C:14]1=[O:15],C[C@@H]1OC(=O)C[C@H]1O.CC=C\C=C\C=O>>[H][C@@]1([C@H](O)\C=C\C=C/C)[C@@H](O)[C@H](C)OC1=O.[H][C@@]1([C@@H](O)\C=C\C=C/C)[C@@H](O)[C@H](C)OC1=O.[H][C@@]1([C@H](O)\C=C\C=C\C)[C@@H](O)[C@H](C)OC1=O.[H][C@@]1([C@@H](O)\C=C\C=C\C)[C@@H](O)[C@H](C)OC1=O
10025649,2004,AsymmetricDouble,Li,1,1,0,3,True,1,?,?,False,3,"[(0, '?'), (1, 'S'), (8, '?')]",[H][C:1]1([C@:2]([H])([O:3][H])/[C:4]([H])=[C:5]([H])/[C:6]([H])=[C:7](/[H])[C:8]([H])([H])[H])[C:9]([H])([O:10][H])[C:11]([H])([H])[O:12][C:13]1=[O:14],O[C@@H]1COC(=O)C1.CC=C\C=C\C=O>>[H][C@]1([C@H](O)\C=C\C=C/C)[C@H](O)COC1=O.[H][C@]1([C@H](O)\C=C\C=C\C)[C@H](O)COC1=O.[H][C@]1([C@@H](O)\C=C\C=C/C)[C@H](O)COC1=O.[H][C@]1([C@@H](O)\C=C\C=C\C)[C@H](O)COC1=O
10070940,2003,AsymmetricDouble,Li,1,1,0,3,True,1,?,?,False,4,"[(0, '?'), (1, 'S'), (8, '?'), (10, 'S')]",[H][C:1]1([C@:2]([H])([O:3][H])/[C:4]([H])=[C:5]([H])/[C:6]([H])=[C:7](/[H])[C:8]([H])([H])[H])[C:9]([H])([O:10][H])[C@@:11]([H])(/[C:15]([H])=[C:16](\[H])[C:17]([H])([H])[H])[O:12][C:13]1=[O:14],CC=C\C=C\C=O.C\C=C\[C@@H]1OC(=O)C[C@H]1O>>[H][C@]1([C@H](O)\C=C\C=C/C)[C@H](O)[C@H](OC1=O)\C=C\C.[H][C@]1([C@@H](O)\C=C\C=C/C)[C@H](O)[C@H](OC1=O)\C=C\C.[H][C@]1([C@H](O)\C=C\C=C\C)[C@H](O)[C@H](OC1=O)\C=C\C.[H][C@]1([C@@H](O)\C=C\C=C\C)[C@H](O)[C@H](OC1=O)\C=C\C
8671745,2000,AsymmetricDouble,Li,1,0,1,2,False,0,?,?,False,5,"[(0, '?'), (1, 'R'), (12, '?'), (14, 'R'), (17, '?')]",[H][C:1]1([C@@:2]([H])([O:3][H])[c:4]2[c:5]([H])[c:6]([H])[c:7]3[c:11]([c:12]2[H])[O:10][C:9]([H])([H])[O:8]3)[C:13]([H])([O:14][H])[C@:15]([H])([C:16]([H])([H])[O:17][C:18]([c:19]2[c:20]([H])[c:21]([H])[c:22]([H])[c:23]([H])[c:24]2[H])([c:25]2[c:26]([H])[c:27]([H])[c:28]([H])[c:29]([H])[c:30]2[H])[c:31]2[c:32]([H])[c:33]([H])[c:34]([H])[c:35]([H])[c:36]2[H])[O:37][C:38]1=[O:39],O=CC1=CC=C2OCOC2=C1.O[C@@H]1CC(=O)O[C@H]1COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>[H][C@]1([C@@H](O)C2=CC=C3OCOC3=C2)[C@@H](O)[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC1=O.[H][C@@]1([C@@H](O)C2=CC=C3OCOC3=C2)[C@@H](O)[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC1=O
10306124,2003,AsymmetricDouble,Li,0,0,0,0,True,1,?,?,False,4,"[(0, '?'), (1, 'S'), (8, '?'), (10, 'S')]",[H][C:1]1([C@:2]([H])([O:3][H])/[C:4]([H])=[C:5]([H])/[C:6]([H])=[C:7](/[H])[C:8]([H])([H])[H])[C:9]([H])([O:10][H])[C@@:11]([H])([C:12]([H])([H])[H])[O:13][C:14]1=[O:15],C[C@H]1OC(=O)C[C@H]1O.CC=C\C=C\C=O>>[H][C@@]1([C@H](O)\C=C\C=C/C)[C@@H](O)[C@@H](C)OC1=O.[H][C@@]1([C@@H](O)\C=C\C=C/C)[C@@H](O)[C@@H](C)OC1=O.[H][C@@]1([C@H](O)\C=C\C=C\C)[C@@H](O)[C@@H](C)OC1=O.[H][C@@]1([C@@H](O)\C=C\C=C\C)[C@@H](O)[C@@H](C)OC1=O
8613390,2000,AsymmetricDouble,Li,0,0,0,0,True,1,?,?,False,5,"[(0, '?'), (1, 'S'), (12, '?'), (14, 'S'), (17, '?')]",[H][C:1]1([C@:2]([H])([O:3][H])[c:4]2[c:5]([H])[c:6]([H])[c:7]3[c:11]([c:12]2[H])[O:10][C:9]([H])([H])[O:8]3)[C:13]([H])([O:14][H])[C@@:15]([H])([C:16]([H])([H])[O:17][C:18]([c:19]2[c:20]([H])[c:21]([H])[c:22]([H])[c:23]([H])[c:24]2[H])([c:25]2[c:26]([H])[c:27]([H])[c:28]([H])[c:29]([H])[c:30]2[H])[c:31]2[c:32]([H])[c:33]([H])[c:34]([H])[c:35]([H])[c:36]2[H])[O:37][C:38]1=[O:39],O=CC1=CC=C2OCOC2=C1.O[C@@H]1CC(=O)O[C@@H]1COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>[H][C@@]1([C@H](O)C2=CC=C3OCOC3=C2)[C@@H](O)[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC1=O.[H][C@@]1([C@@H](O)C2=CC=C3OCOC3=C2)[C@@H](O)[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC1=O
10048603,2004,AsymmetricDouble,Li,1,1,0,3,True,1,?,?,False,4,"[(0, '?'), (1, 'S'), (8, '?'), (10, 'R')]",[H][C:1]1([C@:2]([H])([O:3][H])/[C:4]([H])=[C:5]([H])/[C:6]([H])=[C:7](/[H])[C:8]([H])([H])[H])[C:9]([H])([O:10][H])[C@:11]([H])([C:12]([H])([H])[H])[O:13][C:14]1=[O:15],[H][C@@]1(C)OC(=O)C[C@@H]1O.CC=C\C=C\C=O>>[H][C@]1([C@H](O)\C=C\C=C/C)[C@H](O)[C@H](C)OC1=O.[H][C@]1([C@H](O)\C=C\C=C\C)[C@H](O)[C@H](C)OC1=O.[H][C@]1([C@@H](O)\C=C\C=C/C)[C@H](O)[C@H](C)OC1=O.[H][C@]1([C@@H](O)\C=C\C=C\C)[C@H](O)[C@H](C)OC1=O
11007685,2007,AsymmetricDouble,0,1,1,0,3,True,1,?,?,False,4,"[(0, '?'), (1, 'R'), (3, '?'), (9, '?')]",[H][C:1]1([C@@:2]([H])([O:3][H])[C:4]2([H])[C:5]([H])([H])[C:6]([H])([H])[C:7]([H])([H])[C:8]([H])([H])[C:9]2([H])[H])[C:10]([H])([O:11][H])[C:12](=[O:13])[N:14]([C:15]([H])([H])[c:16]2[c:17]([H])[c:18]([H])[c:19]([H])[c:20]([H])[c:21]2[H])[C:22]1=[O:23],O[C@H]1CC(=O)N(CC2=CC=CC=C2)C1=O.O=CC1CCCCC1>>[H][C@]1([C@@H](O)C2CCCCC2)[C@H](O)C(=O)N(CC2=CC=CC=C2)C1=O.[H][C@]1([C@H](O)C2CCCCC2)[C@H](O)C(=O)N(CC2=CC=CC=C2)C1=O
44828854,2017,AsymmetricDouble,Li,0,0,0,0,True,1,?,?,False,3,"[(9, 'S'), (13, 'R'), (17, 'R')]",CC(C)(C)[Si](C)(C)OC[C@@H]1OC(=O)[C@](C)(CO)[C@H]1O,C=O.C[C@@H]1[C@@H](O)[C@H](CO[Si](C)(C)C(C)(C)C)OC1=O>>CC(C)(C)[Si](C)(C)OC[C@@H]1OC(=O)[C@](C)(CO)[C@H]1O
9384060,2003,AsymmetricDouble,Li,1,1,0,3,True,1,?,?,False,5,"[(0, '?'), (1, 'S'), (4, '?'), (7, '?'), (13, '?')]",[H][C:1]1([C@:2]([H])([O:3][H])[C:4]([H])([H])[C:5]([C:6]([H])([H])[H])([C:7]([H])([H])[H])[C:8]2([H])[S:9][C:10]([H])([H])[C:11]([H])([H])[C:12]([H])([H])[S:13]2)[C:14]([H])([O:15][H])[C:16]([H])([H])[O:17][C:18]1=[O:19],O[C@@H]1COC(=O)C1.CC(C)(CC=O)C1SCCCS1>>[H][C@]1([C@H](O)CC(C)(C)C2SCCCS2)[C@H](O)COC1=O.[H][C@]1([C@@H](O)CC(C)(C)C2SCCCS2)[C@H](O)COC1=O
