feature,mean_abs_shap
sin_tau1_mean,0.7942737
solvent_pi_star,0.2948369
solvent_beta,0.26785797
Vbur_diff_mean,0.21306022
sin_tau2_mean,0.19387572
activator_TiCl4,0.14623688
cos_tau1_mean,0.14347814
Vbur_si_std,0.12712637
Vbur_total_std,0.12557909
base_DIPEA,0.12322417
Vbur_si_mean,0.11330756
cos_tau2_mean,0.109374166
Vbur_re_std,0.10736128
metal_Ti,0.107263885
base_Et3N,0.10141818
activator_Bu2BOTf,0.09589635
aux_mw,0.09121575
activator_no_activator,0.08680377
cos_tau2_std,0.07897533
Vbur_total_mean,0.077252135
Vbur_re_mean,0.073112
solvent_alpha,0.07036297
aux_config_R,0.06401028
B1_mean,0.063128985
metal_B,0.06043324
has_silylating,0.058466125
cos_tau1_std,0.05735606
B1_std,0.051556066
L_mean,0.05091207
has_oxidant,0.046225768
Vbur_diff_std,0.045513727
sin_tau2_std,0.04464451
solvent_ET30,0.040524498
base_no_base,0.039927028
B5_mean,0.036666103
solvent_known,0.035445932
has_additive,0.03539897
sin_tau1_std,0.035305746
aux_has_benzyl,0.033966023
metal_Mg,0.030558506
n_conformers,0.030256107
activator_Chx2BCl,0.028983353
L_std,0.026968313
B5_std,0.02115846
aux_has_phenyl,0.020962534
reagent_known,0.017637929
metal_none,0.015045742
metal_Li,0.009970443
activator_MgCl2,0.008693056
aux_n_stereocenters,0.008357527
metal_Sn,0.006581934
aux_has_isopropyl,0.00346306
base_LiHMDS,0.0028104882
n_clusters,0.0024191414
activator_Sn_OTf2,0.0012569566
metal_Cu,0.0
metal_Zn,0.0
metal_Zr,0.0
activator_Ipc2BCl,0.0
base_KHMDS,0.0
base_other_base,0.0
base_NaHMDS,0.0
base_LDA,0.0
activator_other_activator,0.0
activator_BF3_OEt2,0.0
