idx,cluster,label_joint
0,3,3
1,3,3
2,3,3
3,3,1
4,3,1
5,3,1
6,3,1
7,3,1
8,3,1
9,3,1
10,3,1
11,3,1
12,3,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,1
26,2,1
27,2,1
28,2,0
29,2,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,4,1
42,2,1
43,2,1
44,2,1
45,2,1
46,1,0
47,1,0
48,3,1
49,3,1
50,3,1
51,3,1
52,3,1
53,3,1
54,3,0
55,3,0
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,3,1
74,3,1
75,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,1
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,3,1
89,3,1
90,3,1
91,3,1
92,3,1
93,2,3
94,2,3
95,3,1
96,2,3
97,3,0
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,3,1
108,3,1
109,2,2
110,2,2
111,3,1
112,3,1
113,2,0
114,3,0
115,3,0
116,0,1
117,0,1
118,0,1
119,1,0
120,3,1
121,3,1
122,3,0
123,3,1
124,3,1
125,2,2
126,2,3
127,2,3
128,2,3
129,2,3
130,2,3
131,2,3
132,3,1
133,3,1
134,3,1
135,3,1
136,3,1
137,2,2
138,2,2
139,0,2
140,0,2
141,1,0
142,1,3
143,1,0
144,3,1
145,2,3
146,2,3
147,2,3
148,2,3
149,3,1
150,3,1
151,3,1
152,3,1
153,3,1
154,3,1
155,3,1
156,3,1
157,3,1
158,3,1
159,2,1
160,0,0
161,2,2
162,1,0
163,2,2
164,3,0
165,3,0
166,3,0
167,3,0
168,3,1
169,3,1
170,3,1
171,3,1
172,3,1
173,2,2
174,2,3
175,2,1
176,3,0
177,3,0
178,3,1
179,2,2
180,0,1
181,3,0
182,3,0
