PC1,PC2,PC3,label_joint,auxiliary_type
0.005950315,-2.6544724,-0.68357843,3,evans
0.005950315,-2.6544724,-0.68357843,3,evans
0.0070293974,-2.667472,-0.6880702,3,evans
2.3563864,1.8077775,0.3466819,1,evans
4.338477,1.3309164,-1.9223194,1,evans
4.116347,-0.44962478,-2.3062816,1,evans
4.268968,1.3018129,-2.00177,1,evans
4.072802,1.2997897,-1.7439182,1,evans
1.8409125,1.8933221,0.36921424,1,evans
4.3325543,1.2992857,-1.9344203,1,evans
4.2985682,1.2861291,-1.973924,1,evans
4.2880764,1.2815378,-1.987305,1,evans
4.2940598,1.2685614,-1.9804304,1,evans
-6.5945225,3.6693523,2.490324,1,crimmins_thione
-6.070845,3.5632432,2.4673018,1,crimmins_thione
-6.0713644,3.563005,2.4671457,1,crimmins_thione
-6.570213,3.670103,2.5160592,1,crimmins_thione
-6.0723,3.5529373,2.4634244,1,crimmins_thione
-6.0787015,3.507593,2.4463634,1,crimmins_thione
0.4264677,3.170403,-1.9184698,2,evans
0.4082127,3.1597693,-1.9324001,2,evans
0.19128716,3.1374176,-1.7067842,2,evans
0.25661907,3.147257,-1.6347815,2,evans
0.42912796,1.3698928,-2.534441,2,evans
-2.4780276,2.469193,-0.3544058,2,evans
-3.8203824,-1.9957626,-0.9959188,1,evans
-3.8203824,-1.9957626,-0.9959188,1,evans
-3.603018,-2.055838,-0.9722987,1,evans
-3.3630905,-0.8924693,-1.0641706,0,evans
-3.3708744,-1.0714607,-1.1291198,0,evans
4.0811973,0.69431317,0.36931825,0,evans
4.104646,0.6391038,0.38259584,0,evans
4.0713444,0.63019633,0.34432083,0,evans
4.0713444,0.63019633,0.34432083,0,evans
4.0713444,0.63019633,0.34432083,0,evans
4.0675235,0.5991772,0.33348963,0,evans
4.103242,-1.2056816,-0.24973446,0,evans
2.0510647,-3.1303225,-0.5192242,0,evans
4.103242,-1.2056816,-0.24973446,0,evans
4.058094,0.547172,0.31210974,0,evans
4.16818,-1.1883119,-0.17509812,0,evans
-1.96898,-7.417649,-3.3354206,1,other_auxiliary
-0.39183232,-3.6801445,-1.6843933,1,other_auxiliary
-4.03383,-0.6618076,-2.14162,1,evans
-4.06764,-0.68195516,-2.1496289,1,evans
-3.959252,-0.65733284,-2.1259837,1,evans
1.0917281,-2.3969676,4.708483,0,oppolzer
0.9086015,-2.544349,4.9486837,0,oppolzer
-0.27132797,0.4803615,0.28140992,1,evans
1.9546599,-0.12744269,-1.8376247,1,evans
1.9546599,-0.12744269,-1.8376247,1,evans
1.0461888,-2.9165332,-3.095083,1,evans
2.2062254,-0.17218235,-2.045037,1,evans
1.4301901,-0.7343496,-1.851575,1,evans
3.1505299,0.33855104,-2.1374013,0,evans
4.956447,2.6495376,2.4864817,0,evans
-1.4520756,1.9538705,-2.0986624,2,evans
-1.4258382,1.9596989,-2.0632179,2,evans
-2.067518,1.661126,-1.1482633,2,evans
-1.4245087,1.9427998,-2.0683038,2,evans
-1.6508387,1.9312208,-1.8477647,2,evans
-1.3888208,1.9433215,-2.033458,2,evans
-2.7957222,1.1155208,-0.8980643,2,evans
-3.8795702,2.512706,0.26150095,2,evans
-1.6550105,1.891928,-1.8402252,2,evans
-4.3051257,1.3797666,-0.45165133,2,evans
-1.6614169,1.8666124,-1.8722737,2,evans
-1.6336467,0.0020141217,-2.477908,2,evans
-1.4779097,1.7548801,-2.1724608,2,evans
-4.458671,-2.9952323,-2.7383358,2,evans
-1.6766104,1.7555506,-1.9139947,2,evans
-1.6336467,0.0020141217,-2.477908,2,evans
-1.609503,0.008472032,-2.4501586,2,evans
5.0471797,1.6659143,-1.860836,1,evans
5.023673,1.6536268,-1.8982114,1,evans
5.0219545,1.6435977,-1.9039346,1,evans
5.027263,1.6352004,-1.9004792,1,evans
4.8919353,1.6533175,-1.5713807,1,evans
4.851905,1.639239,-1.6116604,1,evans
5.0181136,1.6125237,-1.9136432,1,evans
5.0290723,1.486046,-1.9275135,1,evans
2.9894671,-2.1998644,-2.7976108,1,evans
0.7035534,3.3456092,-2.0105195,2,evans
-1.2071642,4.4694324,0.3468153,2,evans
0.24113123,0.9745382,-2.34834,2,evans
1.0338141,1.9237009,-2.4057777,2,evans
1.2299179,1.9218401,-2.6650243,2,evans
1.1895516,3.6765654,-2.10033,2,evans
2.6411676,0.018245924,-2.0707154,1,evans
2.6375325,0.016579676,-2.0718086,1,evans
2.6146336,-0.008585137,-2.1060643,1,evans
2.5887365,-0.19202396,-2.1750839,1,evans
0.68040705,0.3066488,0.16944073,1,evans
-0.43188146,2.858858,-1.4577127,3,evans
0.18478811,3.1442957,-2.4097886,3,evans
0.6487782,-2.2303638,1.6622165,1,evans
-1.8756233,0.21458286,-5.5375757,3,other_auxiliary
0.43478197,-4.300751,-3.0080447,0,evans
-1.7926018,1.9098947,-1.8918368,2,evans
-1.8305713,1.8983502,-1.9385623,2,evans
-1.5715662,1.8994312,-2.1286013,2,evans
-1.803546,1.889118,-1.908385,2,evans
-3.540204,2.37741,0.1483679,2,evans
-1.770974,1.8882113,-1.874476,2,evans
-3.5933344,1.241772,-1.1559875,2,evans
-3.563745,1.4135973,0.13598843,2,evans
-1.6220341,-0.056103684,-2.8369508,2,evans
5.2504787,2.071214,-1.5589222,1,evans
5.2504787,2.071214,-1.5589222,1,evans
0.117874734,0.20699637,-3.569511,2,evans
0.14644891,0.21389584,-3.533364,2,evans
4.3087606,1.2197264,-1.5073903,1,evans
4.2802453,1.0177375,-1.5833894,1,evans
2.482096,-1.5933954,-0.90705115,0,other_auxiliary
4.2524276,1.2149487,-1.8922055,0,evans
4.224702,1.0171375,-1.9664147,0,evans
-4.5543146,5.792209,3.083447,1,crimmins_thione
-4.1659555,5.561877,3.0497274,1,crimmins_thione
-4.1206813,5.5637727,3.1008804,1,crimmins_thione
-0.7629275,-3.5553324,4.44237,0,oppolzer
3.9697485,1.0931779,-1.5461115,1,evans
3.9697485,1.0931779,-1.5461115,1,evans
3.121112,0.62151265,-0.92849964,0,evans
1.2610866,-3.2271304,-0.40877643,1,evans
1.2182885,-1.4792997,0.15312283,1,evans
1.2827058,3.9460366,-2.003682,2,evans
-3.0738635,2.2019105,-0.6095505,3,evans
-1.1782868,1.6662105,-2.9766707,3,evans
-1.3539355,-0.2345797,-3.3376417,3,evans
-3.2100084,-2.1610816,-3.8663783,3,evans
-2.545804,-0.22201742,-1.8047112,3,evans
-2.2989285,-1.2382638,-4.018929,3,evans
3.0938668,-0.35083896,0.07547854,1,evans
4.0467095,0.54388046,0.74108654,1,evans
4.0202293,0.53635144,0.71263456,1,evans
6.8091393,2.8296635,-1.3471738,1,evans
6.787316,2.6750798,-1.4053365,1,evans
1.4221878,3.9350553,-1.559161,2,evans
1.4434793,3.944815,-1.5527592,2,evans
-4.1032615,4.9377913,2.496905,2,crimmins_thione
-4.14159,4.9013596,2.448881,2,crimmins_thione
2.341317,-4.392182,2.3613746,0,oppolzer
0.8681702,-4.0157394,2.3546607,3,oppolzer
0.6006759,-4.2729607,4.7828298,0,oppolzer
5.0163326,1.8740572,-1.908856,1,evans
-0.09869937,2.408856,-2.3519037,3,evans
-1.9560918,-1.4237385,-3.527207,3,evans
-0.10001937,0.5027621,-2.99847,3,evans
-0.07544846,2.2748575,-2.3591406,3,evans
2.3996437,-0.057857092,-1.9232919,1,evans
2.136658,-0.081967175,-1.7420175,1,evans
2.1777096,-1.842164,-2.3085704,1,evans
-0.09243699,0.5089909,0.3705787,1,evans
2.3319921,-0.09960288,-2.0070002,1,evans
1.7147413,-0.38916263,-1.0564755,1,evans
-0.5170459,-0.62930006,-0.3443537,1,evans
2.1269526,-0.14039242,-1.7642001,1,evans
0.42305306,0.35864663,0.3306463,1,evans
2.3490813,-2.0192194,-2.633735,1,evans
-3.8237076,-1.0152228,-0.7707649,1,evans
-3.9125025,5.2449183,3.7028575,0,crimmins_oxathione
-4.493749,0.8675136,1.405291,2,crimmins_oxathione
-1.0707991,-2.461525,3.2765923,0,oppolzer
-0.025078312,2.563793,2.978802,2,evans
0.65236,0.5026015,0.16448474,0,evans
2.5344193,0.6928382,1.5996182,0,evans
2.5344193,0.6928382,1.5996182,0,evans
3.7400355,0.5865909,-0.99399483,0,evans
3.369844,0.98190916,8.612528,1,evans
3.401534,0.9902369,8.649611,1,evans
3.3986459,0.7803577,-1.5473118,1,evans
4.049936,1.1752917,-1.5135243,1,evans
1.3283827,0.5899779,-0.19825162,1,evans
0.0773942,2.367101,-1.4122165,2,evans
-3.9823527,1.7799783,-0.56775105,3,evans
-2.1645634,0.8912104,-1.8911151,1,evans
-2.0378072,-3.8722346,2.9483993,0,evans
2.0894165,-1.0640948,-0.69647145,0,evans
4.7883525,1.5457181,-1.9104944,1,evans
