,PC1,PC2,PC3,abs_PC1
B1_mean,-0.018360766,0.11813039,0.09848647,0.018360766
B1_std,-0.032447383,0.09195724,0.15079956,0.032447383
B5_mean,-0.030321773,0.15010312,0.14163579,0.030321773
B5_std,-0.029711043,0.079058886,0.09958548,0.029711043
L_mean,-0.017991317,0.13550466,0.12580699,0.017991317
L_std,-0.0317672,0.076627046,0.11818442,0.0317672
Vbur_diff_mean,-0.07816723,-0.1700107,0.02035246,0.07816723
Vbur_diff_std,-0.1163607,-0.028704774,0.17968765,0.1163607
Vbur_re_mean,0.012085451,0.20094717,0.099236965,0.012085451
Vbur_re_std,-0.11160499,-0.021924797,0.16899937,0.11160499
Vbur_si_mean,-0.10793754,0.0044269976,0.15596047,0.10793754
Vbur_si_std,-0.12220442,-0.05113799,0.17345938,0.12220442
Vbur_total_mean,-0.051575802,0.15267661,0.16535261,0.051575802
Vbur_total_std,-0.086085506,-0.11082682,0.06882834,0.086085506
cos_tau1_mean,0.09919836,-0.018222757,-0.17896746,0.09919836
cos_tau1_std,-0.06578528,-0.06867331,0.07931986,0.06578528
cos_tau2_mean,0.073158234,-0.12726337,-0.070408955,0.073158234
cos_tau2_std,-0.13406853,-0.11874074,0.103825785,0.13406853
sin_tau1_mean,-0.08503836,-0.17169216,0.03552435,0.08503836
sin_tau1_std,-0.09686646,-0.051403403,0.16573547,0.09686646
sin_tau2_mean,-0.026176943,-0.00078271935,0.00019542118,0.026176943
sin_tau2_std,-0.060416494,0.014119139,-0.030632554,0.060416494
n_conformers,0.024158869,-0.158805,0.00015513433,0.024158869
n_clusters,0.024158869,-0.158805,0.00015513433,0.024158869
ald_L_mean,0.15653615,-0.081397325,0.09218777,0.15653615
ald_L_std,0.12550198,-0.037859052,0.0662506,0.12550198
ald_B1_mean,0.09345826,-0.037213985,0.06587902,0.09345826
ald_B1_std,0.1164435,-0.028573716,0.07696036,0.1164435
ald_B5_mean,0.18180433,-0.078437224,0.119587004,0.18180433
ald_B5_std,0.11753896,-0.030869024,0.0660664,0.11753896
ald_Vbur_total_mean,0.12235372,-0.041948695,0.040889848,0.12235372
ald_Vbur_total_std,0.1085824,-0.026180783,0.05191352,0.1085824
ald_n_conformers,0.1977642,-0.07257949,0.1169782,0.1977642
ald_n_clusters,0.1977642,-0.07257949,0.1169782,0.1977642
feat_DIPEA,0.019764077,-0.00038920454,0.044504203,0.019764077
feat_Et3N,0.11629815,-0.005539261,-0.028161176,0.11629815
feat_LiHMDS,-0.02186535,0.04149523,-0.012993624,0.02186535
feat_NaHMDS,-0.0035623421,0.048598308,0.007003753,0.0035623421
feat_LDA,0.0,0.0,-0.0,0.0
feat_KHMDS,0.0,0.0,-0.0,0.0
feat_other_base,-0.077449724,-0.10360192,0.09378121,0.077449724
feat_no_base,-0.10263932,0.06112084,-0.08133697,0.10263932
feat_base_pKa,0.11466118,-0.04470996,0.06804325,0.11466118
