auxiliary_type,aux_chir,ze,label_syn_anti_3d,n,mode_label,purity,entropy
evans,S,Z,1.0,482,2,0.5186721991701245,1.6853326272497569
evans,R,Z,1.0,305,1,0.5540983606557377,1.4473558506581454
evans,S,Z,0.0,282,2,0.49645390070921985,1.6931191638494933
evans,R,Z,0.0,173,1,0.5028901734104047,1.4883122399987792
evans,R|S,Z,1.0,153,1,0.39215686274509803,1.884619682129759
crimmins_thione,S,Z,1.0,130,1,0.36923076923076925,1.8372349660328475
abiko,R|S,Z,1.0,91,0,0.45054945054945056,1.7639146489661874
evans,R|S,Z,0.0,77,0,0.4935064935064935,1.5844852385666124
crimmins_thione,S,Z,0.0,66,2,0.4090909090909091,1.747796968474751
crimmins_oxathione,S,Z,1.0,61,1,0.4098360655737705,1.8376587653813599
oppolzer,R|R|S,Z,0.0,40,1,0.525,1.4508774745753188
oppolzer,R|R|S,Z,1.0,33,1,0.5454545454545454,1.5788905152745722
evans,R|R,Z,1.0,33,1,0.30303030303030304,1.9759583325044725
oppolzer,R|S|S,Z,1.0,32,0,0.6875,1.2575318729867573
crimmins_thione,R,Z,0.0,30,1,0.4666666666666667,1.799586733285182
abiko,R|S,Z,0.0,29,0,0.5862068965517241,1.5991389844410326
crimmins_oxathione,S,Z,0.0,29,1,0.4827586206896552,1.738524844522861
evans,S|S,Z,1.0,25,0,0.4,1.8448894517332408
crimmins_thione,R,Z,1.0,22,1,0.45454545454545453,1.436545552091029
evans,R|R|S,Z,1.0,20,0,0.45,1.8394910703001344
oppolzer,R|S|S,Z,0.0,18,0,0.6111111111111112,1.5694452621548822
crimmins_oxathione,R,Z,1.0,18,2,0.6111111111111112,1.5002723456084084
evans,S|S,Z,0.0,18,1,0.3888888888888889,1.788215812371376
crimmins_oxathione,none,Z,0.0,17,3,0.7058823529411765,1.086312840741288
crimmins_oxathione,R,Z,0.0,15,2,0.5333333333333333,1.7232314287976207
menthyl_ester,R|R|R|S,Z,1.0,15,2,0.4666666666666667,1.6894822670191825
evans,R|R|S|S,Z,0.0,11,0,0.36363636363636365,1.823067982273661
evans,R|R|S|S,Z,1.0,11,1,0.6363636363636364,1.4911148500551858
evans,R|R,Z,0.0,11,3,0.45454545454545453,1.4949188482339508
oxazoline,none,Z,1.0,10,0,0.9,0.4689955935892812
myers,S|S,Z,1.0,10,1,0.8,0.7219280948873623
evans,none,Z,1.0,9,3,0.5555555555555556,1.4355205042826666
crimmins_oxathione,R|R|S,Z,1.0,9,1,0.4444444444444444,1.7527152789797045
menthyl_ester,R|R|S,Z,1.0,6,0,1.0,-0.0
crimmins_oxathione,none,Z,1.0,5,0,1.0,-0.0
oxazoline,none,Z,0.0,5,0,0.6,0.9709505944546686
crimmins_thione,S|S,Z,1.0,5,1,0.8,0.7219280948873623
evans,R|R|S,Z,0.0,5,1,0.6,0.9709505944546686
oppolzer,R|R|S|S,Z,1.0,4,1,1.0,-0.0
menthyl_ester,R|R|R|S,Z,0.0,4,3,0.5,1.0
evans,none,Z,0.0,4,2,0.75,0.8112781244591328
evans,R|S|S,Z,1.0,4,0,0.75,0.8112781244591328
evans,R|S|S,Z,0.0,4,0,0.5,1.5
oxazoline,R|S,Z,1.0,3,3,1.0,-0.0
oppolzer,R|S,Z,0.0,3,0,0.6666666666666666,0.9182958340544896
crimmins_oxathione,R|R|S,Z,0.0,3,1,0.6666666666666666,0.9182958340544896
crimmins_thione,R|S,Z,1.0,3,0,0.3333333333333333,1.584962500721156
oppolzer,R|R|S|S,Z,0.0,3,1,0.6666666666666666,0.9182958340544896
myers,S|S,Z,0.0,3,1,1.0,-0.0
evans,R|S|S|S,Z,1.0,2,3,0.5,1.0
crimmins_oxathione,R|S,Z,1.0,2,1,0.5,1.0
oxazoline,S,Z,0.0,2,3,1.0,-0.0
oppolzer,R|S,Z,1.0,2,0,1.0,-0.0
oppolzer,R|S|S|S,Z,1.0,2,1,0.5,1.0
oppolzer,none,Z,0.0,2,1,1.0,-0.0
menthyl_ester,R|S|S,Z,1.0,2,2,1.0,-0.0
crimmins_oxathione,R|S,Z,0.0,1,3,1.0,-0.0
evans,R|R|R|R,Z,0.0,1,3,1.0,-0.0
evans,R|R|R|R|S,Z,0.0,1,3,1.0,-0.0
evans,R|R|R|R|S|S|S,Z,1.0,1,2,1.0,-0.0
evans,R|R|R|S|S,Z,1.0,1,1,1.0,-0.0
evans,R|R|S|S|S|S|S,Z,0.0,1,3,1.0,-0.0
crimmins_thione,R|S,Z,0.0,1,2,1.0,-0.0
crimmins_thione,S|S,Z,0.0,1,1,1.0,-0.0
evans,R|R|R,Z,1.0,1,1,1.0,-0.0
menthyl_ester,R|S|S,Z,0.0,1,0,1.0,-0.0
menthyl_ester,R|R|R|R|R|R|R|S|S|S|S,Z,0.0,1,0,1.0,-0.0
myers,R|S|S,Z,1.0,1,0,1.0,-0.0
menthyl_ester,na,Z,0.0,1,0,1.0,-0.0
myers,R|R,Z,1.0,1,2,1.0,-0.0
myers,R|S|S,Z,0.0,1,0,1.0,-0.0
menthyl_ester,R|R|R|R|R|R|R|S|S|S|S,Z,1.0,1,1,1.0,-0.0
oppolzer,S|S|S,Z,0.0,1,0,1.0,-0.0
oppolzer,none,Z,1.0,1,3,1.0,-0.0
oxazoline,S,Z,1.0,1,3,1.0,-0.0
