auxiliary_type,aux_chir,ze,label_syn_anti_3d,n,mode_label,purity,entropy
evans,S,Z,1.0,482,2,0.5186721991701245,1.6853326272497569
evans,R,Z,1.0,305,1,0.5540983606557377,1.4473558506581454
evans,S,Z,0.0,282,2,0.49645390070921985,1.6931191638494933
evans,R,Z,0.0,173,1,0.5028901734104047,1.4883122399987792
evans,R|S,Z,1.0,153,1,0.39215686274509803,1.884619682129759
evans,R|S,Z,0.0,77,0,0.4935064935064935,1.5844852385666124
evans,R|R,Z,1.0,33,1,0.30303030303030304,1.9759583325044725
evans,S|S,Z,1.0,25,0,0.4,1.8448894517332408
evans,R|R|S,Z,1.0,20,0,0.45,1.8394910703001344
evans,S|S,Z,0.0,18,1,0.3888888888888889,1.788215812371376
evans,R|R,Z,0.0,11,3,0.45454545454545453,1.4949188482339508
evans,R|R|S|S,Z,1.0,11,1,0.6363636363636364,1.4911148500551858
evans,R|R|S|S,Z,0.0,11,0,0.36363636363636365,1.823067982273661
evans,none,Z,1.0,9,3,0.5555555555555556,1.4355205042826666
evans,R|R|S,Z,0.0,5,1,0.6,0.9709505944546686
evans,none,Z,0.0,4,2,0.75,0.8112781244591328
evans,R|S|S,Z,0.0,4,0,0.5,1.5
evans,R|S|S,Z,1.0,4,0,0.75,0.8112781244591328
evans,R|S|S|S,Z,1.0,2,3,0.5,1.0
evans,R|R|R|S|S,Z,1.0,1,1,1.0,-0.0
evans,R|R|R|R,Z,0.0,1,3,1.0,-0.0
evans,R|R|R,Z,1.0,1,1,1.0,-0.0
evans,R|R|R|R|S|S|S,Z,1.0,1,2,1.0,-0.0
evans,R|R|R|R|S,Z,0.0,1,3,1.0,-0.0
evans,R|R|S|S|S|S|S,Z,0.0,1,3,1.0,-0.0
