number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5845081504345886,2026-05-28 11:36:13.908930,2026-05-28 11:36:18.550767,0 days 00:00:04.641837,,0.3,10,2,650,COMPLETE
1,0.6388714462430711,2026-05-28 11:36:18.551333,2026-05-28 11:36:19.753318,0 days 00:00:01.201985,20.0,log2,1,19,150,COMPLETE
2,0.5926808368407626,2026-05-28 11:36:19.753809,2026-05-28 11:36:25.968242,0 days 00:00:06.214433,15.0,log2,10,9,900,COMPLETE
3,0.6511112209500547,2026-05-28 11:36:25.968750,2026-05-28 11:36:32.400039,0 days 00:00:06.431289,15.0,0.3,1,14,900,COMPLETE
4,0.6111112060286106,2026-05-28 11:36:32.400600,2026-05-28 11:36:35.839400,0 days 00:00:03.438800,10.0,0.5,4,5,450,COMPLETE
5,0.6388978111245498,2026-05-28 11:36:35.840043,2026-05-28 11:36:39.371839,0 days 00:00:03.531796,15.0,0.3,1,16,500,COMPLETE
6,0.6110303640059007,2026-05-28 11:36:39.372336,2026-05-28 11:36:42.536262,0 days 00:00:03.163926,50.0,0.3,6,9,450,COMPLETE
7,0.6406052157511284,2026-05-28 11:36:42.536948,2026-05-28 11:36:48.228844,0 days 00:00:05.691896,30.0,1.0,2,18,600,COMPLETE
8,0.6206944301236741,2026-05-28 11:36:48.229345,2026-05-28 11:36:50.570180,0 days 00:00:02.340835,20.0,log2,4,19,350,COMPLETE
9,0.6354450477577693,2026-05-28 11:36:50.570661,2026-05-28 11:36:51.976517,0 days 00:00:01.405856,15.0,log2,4,12,200,COMPLETE
10,0.6116224482508437,2026-05-28 11:36:51.977274,2026-05-28 11:36:58.526635,0 days 00:00:06.549361,,sqrt,7,14,1000,COMPLETE
11,0.6426758063004736,2026-05-28 11:36:58.527137,2026-05-28 11:37:05.834179,0 days 00:00:07.307042,30.0,1.0,2,16,750,COMPLETE
12,0.6354182795279744,2026-05-28 11:37:05.834672,2026-05-28 11:37:13.419558,0 days 00:00:07.584886,30.0,1.0,3,14,800,COMPLETE
13,0.6505780958206591,2026-05-28 11:37:13.419964,2026-05-28 11:37:19.958636,0 days 00:00:06.538672,30.0,0.7,1,15,750,COMPLETE
14,0.5957186818447838,2026-05-28 11:37:19.959108,2026-05-28 11:37:27.864333,0 days 00:00:07.905225,10.0,0.7,8,11,1000,COMPLETE
15,0.6500869472931837,2026-05-28 11:37:27.864801,2026-05-28 11:37:34.606084,0 days 00:00:06.741283,50.0,0.7,1,15,800,COMPLETE
16,0.6182241687929632,2026-05-28 11:37:34.606572,2026-05-28 11:37:40.637374,0 days 00:00:06.030802,15.0,0.7,3,12,700,COMPLETE
