number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5986475193008571,2026-05-28 21:53:51.907536,2026-05-28 21:53:58.272538,0 days 00:00:06.365002,0.5853208472882119,0.03200262211501592,0.050392381137601173,6,7,400,0.024422496363982138,2.1379655245467886,0.9577745684995678,COMPLETE
1,0.6047751832678843,2026-05-28 21:53:58.273120,2026-05-28 21:54:02.388106,0 days 00:00:04.114986,0.620897014425694,0.12102513676417459,0.06863719517899619,7,10,250,0.0008890783361027946,0.6581668492126994,0.6367713862587208,COMPLETE
2,0.6043903078480151,2026-05-28 21:54:02.388637,2026-05-28 21:54:05.567958,0 days 00:00:03.179321,0.7725974597187211,0.764649617679038,0.1350865371422697,6,2,350,0.00017007741038251457,0.1321150541818951,0.8724121994395204,COMPLETE
3,0.6115610789007231,2026-05-28 21:54:05.568438,2026-05-28 21:54:15.677969,0 days 00:00:10.109531,0.6685030448321823,0.4096002492889612,0.014522867008060965,7,5,600,0.00036782543285775497,0.4172867639494968,0.9355803722156096,COMPLETE
4,0.5957912600889383,2026-05-28 21:54:15.678489,2026-05-28 21:54:17.404403,0 days 00:00:01.725914,0.7834172344333137,0.48929888103647656,0.07430557569628846,4,9,100,4.4997548025349525,0.7940936594667964,0.5917237413992901,COMPLETE
5,0.6000946279687706,2026-05-28 21:54:17.404860,2026-05-28 21:54:20.576431,0 days 00:00:03.171571,0.9984624304455667,0.020664937147975793,0.02109850430345208,4,8,200,0.00015755651346492075,0.4897075190971305,0.5491684871971194,COMPLETE
6,0.6028278048636895,2026-05-28 21:54:20.576929,2026-05-28 21:54:24.532570,0 days 00:00:03.955641,0.6427420654674474,0.13731651782882126,0.010731627491606962,4,10,300,0.006921524811542226,0.7173394223433402,0.6289654807416716,COMPLETE
7,0.588287697487073,2026-05-28 21:54:24.533208,2026-05-28 21:54:35.205359,0 days 00:00:10.672151,0.9671326239797986,0.7153141798484054,0.01398777938913246,4,3,750,0.10210796995452293,3.41047338344152,0.5440983161791284,COMPLETE
8,0.5937990448438968,2026-05-28 21:54:35.205932,2026-05-28 21:54:47.385260,0 days 00:00:12.179328,0.9068474165150082,0.4605071878205669,0.01295110116794055,8,10,600,0.42344706213160066,7.32421193132449,0.9952444426707945,COMPLETE
9,0.5970088387493031,2026-05-28 21:54:47.385772,2026-05-28 21:54:52.212579,0 days 00:00:04.826807,0.9307286922217073,0.4966970280455405,0.014595020641944694,7,10,250,0.7488618392711902,2.017842060573,0.5275972615784271,COMPLETE
10,0.6210198033192652,2026-05-28 21:54:52.213053,2026-05-28 21:54:57.341832,0 days 00:00:05.128779,0.3601611917329333,0.9950509664900069,0.035351436803375824,10,5,550,0.002608639235770349,0.15634421299123746,0.8280027601348784,COMPLETE
11,0.6193948457827407,2026-05-28 21:54:57.342345,2026-05-28 21:55:03.827252,0 days 00:00:06.484907,0.3511687948494198,0.9313349504735522,0.03098418569983564,10,5,550,0.0026873844263798053,0.18263753582053469,0.831142925400104,COMPLETE
12,0.6142372187910856,2026-05-28 21:55:03.827748,2026-05-28 21:55:09.199493,0 days 00:00:05.371745,0.39327493150481524,0.9981175737864242,0.03261140654515514,10,5,550,0.003563653153296882,0.11183339586837376,0.7912891166600023,COMPLETE
13,0.616053885226616,2026-05-28 21:55:09.200127,2026-05-28 21:55:15.089096,0 days 00:00:05.888969,0.30042574043509146,0.9974902286043292,0.03181014885272595,10,4,750,0.0019295530892991688,0.2259534747532261,0.7624858307760368,COMPLETE
14,0.6008154512753512,2026-05-28 21:55:15.089666,2026-05-28 21:55:18.064402,0 days 00:00:02.974736,0.44281202375311685,0.8124458965209637,0.2727262944031816,9,7,500,0.02021730770345718,0.24640194079352448,0.8353389037254776,COMPLETE
15,0.6137011943398456,2026-05-28 21:55:18.064962,2026-05-28 21:55:24.454892,0 days 00:00:06.389930,0.47977030998345577,0.868210674750999,0.035206289118114895,9,6,650,0.005532853029700551,0.23061668714862193,0.7208515418816976,COMPLETE
16,0.6214121047938618,2026-05-28 21:55:24.455476,2026-05-28 21:55:31.190347,0 days 00:00:06.734871,0.3046365981984067,0.6664500801657388,0.023173003865881055,9,3,450,0.0013959535552870216,0.15572980433321632,0.6929253750529563,COMPLETE
17,0.6357875577339576,2026-05-28 21:55:31.190920,2026-05-28 21:55:38.208128,0 days 00:00:07.017208,0.5079364299876122,0.6600368904864379,0.023081216989798252,9,1,400,0.0006396371765085665,0.3387570600642766,0.7010627989077397,COMPLETE
18,0.6324103414964165,2026-05-28 21:55:38.208579,2026-05-28 21:55:45.084950,0 days 00:00:06.876371,0.5008209661270606,0.6195075722432204,0.0225038626840222,8,1,450,0.0007477490214720674,0.3385603543170166,0.7030019668932452,COMPLETE
19,0.6310072668878739,2026-05-28 21:55:45.085447,2026-05-28 21:55:52.460231,0 days 00:00:07.374784,0.5179876375141517,0.6249124389467536,0.021229291599145883,8,1,400,0.00048511565568881275,1.2120131744518878,0.6997061057456428,COMPLETE
20,0.6185159643415781,2026-05-28 21:55:52.460750,2026-05-28 21:55:56.181233,0 days 00:00:03.720483,0.5489823955979012,0.3716362172124786,0.052911129493468864,8,1,150,0.0001068169509218472,0.3710090732887114,0.6707746534377467,COMPLETE
21,0.6199814615800036,2026-05-28 21:55:56.181724,2026-05-28 21:56:03.850941,0 days 00:00:07.669217,0.5035885354311299,0.5940340031195912,0.020896451759421297,8,1,400,0.0005711193464265719,1.379193229417344,0.7283775738122851,COMPLETE
22,0.6236806633108543,2026-05-28 21:56:03.851455,2026-05-28 21:56:12.124084,0 days 00:00:08.272629,0.5224840895971716,0.576438303426421,0.019710774045351574,8,2,450,0.0004804350073726849,1.3525131542380902,0.6670189376765885,COMPLETE
23,0.6335487899066672,2026-05-28 21:56:12.124682,2026-05-28 21:56:18.567509,0 days 00:00:06.442827,0.41784468528255336,0.6309926616313528,0.024753991139615607,9,1,350,0.013287231056452941,0.3365292954835855,0.7678183009911781,COMPLETE
24,0.6182902680006248,2026-05-28 21:56:18.568014,2026-05-28 21:56:23.766892,0 days 00:00:05.198878,0.41686236633403084,0.3030831716922317,0.04571867901775736,9,2,300,0.08976354033136383,0.30077483376603975,0.7725771751224696,COMPLETE
25,0.6388333913884907,2026-05-28 21:56:23.767384,2026-05-28 21:56:27.126126,0 days 00:00:03.358742,0.4553586038495447,0.7181366431088736,0.10757039774045213,9,3,350,0.009080394387267649,0.559869061909752,0.7442218811157645,COMPLETE
26,0.6245817422552524,2026-05-28 21:56:27.126639,2026-05-28 21:56:30.323499,0 days 00:00:03.196860,0.44549806711273043,0.7173132692434896,0.09400818920953757,9,3,350,0.015782750876747426,0.6008219162560534,0.7987122165931868,COMPLETE
27,0.6199022739109386,2026-05-28 21:56:30.323968,2026-05-28 21:56:32.700849,0 days 00:00:02.376881,0.5749767213200458,0.8521139602876009,0.14576966310628348,5,2,300,0.10638535256329577,0.950811513563145,0.8904356653221243,COMPLETE
28,0.5974234046751601,2026-05-28 21:56:32.701323,2026-05-28 21:56:34.670083,0 days 00:00:01.968760,0.375571411781243,0.7607499929180613,0.11911094995683405,3,4,200,0.04994363964642304,0.49859917556959543,0.7442087920067824,COMPLETE
29,0.5961827970890752,2026-05-28 21:56:34.670587,2026-05-28 21:56:38.254427,0 days 00:00:03.583840,0.7029521492181988,0.5436868102848704,0.19000359744493478,6,3,350,0.009866121308407493,2.810515086101868,0.6057262100094786,COMPLETE
30,0.6210826682962285,2026-05-28 21:56:38.254920,2026-05-28 21:56:42.964724,0 days 00:00:04.709804,0.5881600265572662,0.6831846007586542,0.043190354166958905,9,4,400,0.3084361367241468,0.29258512702935946,0.7974778825980007,COMPLETE
31,0.628399263048274,2026-05-28 21:56:42.965184,2026-05-28 21:56:49.723982,0 days 00:00:06.758798,0.46638130259192834,0.63465021512257,0.02488484267157326,8,1,500,0.001201328039547156,0.36793408943871725,0.7111502428824623,COMPLETE
32,0.612349299127559,2026-05-28 21:56:49.724482,2026-05-28 21:56:54.317394,0 days 00:00:04.592912,0.4253964001185681,0.5551165888056425,0.06671433878956802,7,1,450,0.027758555115815226,0.5340115163927923,0.6579303581310321,COMPLETE
