class,class_id,feature,mean_abs_shap
RR (0),0,B1_mean,0.0035363082
RR (0),0,B1_std,0.0047724764
RR (0),0,B5_mean,0.0018135437
RR (0),0,B5_std,0.0031751094
RR (0),0,L_mean,0.004517545
RR (0),0,L_std,0.006508319
RR (0),0,Vbur_diff_mean,0.026230948
RR (0),0,Vbur_diff_std,0.007078349
RR (0),0,Vbur_re_mean,0.004944595
RR (0),0,Vbur_re_std,0.006129381
RR (0),0,Vbur_si_mean,0.009577002
RR (0),0,Vbur_si_std,0.008075475
RR (0),0,Vbur_total_mean,0.01219949
RR (0),0,Vbur_total_std,0.009787377
RR (0),0,cos_tau1_mean,0.012664396
RR (0),0,cos_tau1_std,0.010536516
RR (0),0,cos_tau2_mean,0.006465005
RR (0),0,cos_tau2_std,0.006229271
RR (0),0,sin_tau1_mean,0.0045875004
RR (0),0,sin_tau1_std,0.01080308
RR (0),0,sin_tau2_mean,0.011573487
RR (0),0,sin_tau2_std,0.008436549
RR (0),0,n_conformers,0.0012112532
RR (0),0,n_clusters,0.0006500682
RR (0),0,ald_L_mean,0.047474395
RR (0),0,ald_L_std,0.008118084
RR (0),0,ald_B1_mean,0.031079069
RR (0),0,ald_B1_std,0.02327998
RR (0),0,ald_B5_mean,0.03217522
RR (0),0,ald_B5_std,0.035189867
RR (0),0,ald_Vbur_total_mean,0.0602679
RR (0),0,ald_Vbur_total_std,0.059388228
RR (0),0,ald_n_conformers,0.012979943
RR (0),0,ald_n_clusters,0.011110604
RR (0),0,feat_DIPEA,0.006848675
RR (0),0,feat_Et3N,0.002555944
RR (0),0,feat_LiHMDS,0.0
RR (0),0,feat_NaHMDS,0.0
RR (0),0,feat_LDA,0.0
RR (0),0,feat_KHMDS,0.0
RR (0),0,feat_other_base,0.00044539824
RR (0),0,feat_no_base,0.011301686
RR (0),0,feat_base_pKa,0.0059013744
RR (0),0,feat_base_steric_A,0.010882803
RR (0),0,feat_base_nucleophilicity,0.0041121603
RR (0),0,feat_metal_B,0.0007220958
RR (0),0,feat_metal_Cu,0.0
RR (0),0,feat_metal_Li,4.1499283e-05
RR (0),0,feat_metal_Mg,0.0012996066
RR (0),0,feat_metal_Sn,0.0005326432
RR (0),0,feat_metal_Ti,0.009852642
RR (0),0,feat_metal_Zn,0.0
RR (0),0,feat_metal_Zr,0.0
RR (0),0,feat_metal_none,0.005230548
RR (0),0,feat_metal_unknown,0.00050165324
