Model,Bal.Acc,MCC,Joint,F1m,Ca,Cb,SA,F1_C0,F1_C1,F1_C2,F1_C3,Bal.Acc 95%CI
ChiralAldolV4-XGB,0.7520,0.7191,0.8270,0.7643,0.8595,0.8703,0.9243,0.846,0.667,0.690,0.855,"[0.652,0.847]"
ChiralAldolV3b-XGB,0.7726,0.7454,0.8432,0.7895,0.8703,0.8811,0.9351,0.864,0.700,0.733,0.861,"[0.669,0.868]"
ChiralAldolV3-XGB,0.7795,0.7629,0.8541,0.7959,0.8811,0.8919,0.9351,0.874,0.700,0.733,0.877,"[0.678,0.875]"
ChiralAldolV2-Stack,0.7883,0.7352,0.8324,0.7580,0.8757,0.8865,0.9027,0.871,0.593,0.710,0.859,"[0.693,0.874]"
ChiralAldolV2-XGB,0.7888,0.7294,0.8324,0.7897,0.8595,0.8703,0.9351,0.849,0.727,0.733,0.849,"[0.690,0.877]"
ChiralAldol-Stack,0.7775,0.7330,0.8324,0.7547,0.8757,0.8865,0.9027,0.859,0.640,0.645,0.875,"[0.687,0.870]"
ChiralAldol-WtVote,0.7898,0.7636,0.8541,0.7960,0.8811,0.8973,0.9297,0.879,0.762,0.667,0.877,"[0.699,0.883]"
ChiralAldol+DRFP-XGB,0.7216,0.7283,0.8324,0.7312,0.8703,0.8919,0.9027,0.874,0.545,0.643,0.863,"[0.615,0.814]"
ChiralAldol-XGB,0.7565,0.7071,0.8162,0.7436,0.8595,0.8649,0.9081,0.865,0.667,0.611,0.831,"[0.660,0.853]"
SterOnly-XGB,0.5938,0.5425,0.6919,0.5615,0.7946,0.8432,0.7459,0.827,0.211,0.486,0.722,"[0.495,0.699]"
CondAux-XGB,0.7207,0.6480,0.7784,0.7088,0.8216,0.8324,0.9027,0.829,0.636,0.588,0.782,"[0.622,0.818]"
DRFP+Cond+XGBoost,0.7751,0.7584,0.8486,0.7640,0.8865,0.9027,0.9081,0.891,0.583,0.710,0.871,"[0.675,0.875]"
DRFP+Aux+Cond-XGB,0.7976,0.7580,0.8486,0.7820,0.8865,0.8919,0.9189,0.879,0.667,0.710,0.873,"[0.706,0.884]"
AuxChiral-XGB,0.7237,0.6575,0.7838,0.7094,0.8216,0.8432,0.9027,0.835,0.609,0.606,0.788,"[0.625,0.820]"
AuxChiral+Ald-XGB,0.5717,0.5330,0.7135,0.5807,0.7514,0.7784,0.8973,0.785,0.381,0.429,0.729,"[0.473,0.688]"
AuxChiral-LGBM,0.7212,0.6474,0.7784,0.7094,0.8270,0.8324,0.8973,0.836,0.667,0.556,0.779,"[0.625,0.818]"
CondOnly-XGB,0.5046,0.3287,0.5622,0.4386,0.6649,0.6108,0.8486,0.646,0.359,0.148,0.601,"[0.413,0.599]"
AuxNoBase-XGB,0.7339,0.6799,0.8000,0.7315,0.8324,0.8541,0.9135,0.844,0.667,0.606,0.809,"[0.639,0.830]"
DRFP+XGBoost,0.6300,0.6317,0.7676,0.6261,0.8486,0.8486,0.8378,0.824,0.296,0.552,0.832,"[0.531,0.732]"
DRFP+LightGBM,0.6471,0.6040,0.7405,0.6063,0.8162,0.8595,0.8054,0.787,0.353,0.438,0.847,"[0.549,0.746]"
