Model,Bal.Acc,MCC,Joint,F1m,Ca,Cb,SA,F1_C0,F1_C1,F1_C2,F1_C3,Bal.Acc 95%CI
ChiralAldolV5-Stack,0.6938,0.5574,0.7032,0.7100,0.7226,0.7226,0.9613,0.690,0.571,0.897,0.682,"[0.568,0.822]"
ChiralAldolV5-XGB,0.7584,0.7313,0.8323,0.7888,0.8516,0.8452,0.9677,0.810,0.571,0.929,0.846,"[0.637,0.895]"
ChiralAldolV5-LGBM,0.7491,0.7050,0.8129,0.7689,0.8387,0.8194,0.9677,0.791,0.500,0.963,0.822,"[0.624,0.885]"
ChiralAldolV5-ET,0.7419,0.6940,0.8129,0.7371,0.8516,0.8258,0.9484,0.786,0.500,0.812,0.850,"[0.613,0.881]"
ChiralAldolV5s-XGB,0.7084,0.7184,0.8258,0.7279,0.8452,0.8452,0.9613,0.810,0.333,0.929,0.840,"[0.610,0.838]"
ChiralAldolV4-XGB,0.6280,0.5719,0.7226,0.6440,0.7419,0.7484,0.9548,0.719,0.286,0.846,0.725,"[0.519,0.770]"
ChiralAldolV3b-XGB,0.7206,0.6636,0.7871,0.7395,0.8065,0.8000,0.9677,0.769,0.500,0.889,0.800,"[0.586,0.856]"
ChiralAldolV3-XGB,0.6962,0.6816,0.8065,0.7240,0.8258,0.8194,0.9677,0.784,0.333,0.963,0.816,"[0.596,0.826]"
ChiralAldolV2-Stack,0.7815,0.7076,0.8194,0.8157,0.8387,0.8323,0.9677,0.784,0.750,0.889,0.840,"[0.629,0.899]"
ChiralAldolV2-XGB,0.7829,0.7115,0.8194,0.8160,0.8387,0.8323,0.9677,0.787,0.750,0.889,0.838,"[0.630,0.902]"
ChiralAldol-Stack,0.7248,0.6350,0.7742,0.7560,0.7935,0.7871,0.9677,0.740,0.571,0.929,0.784,"[0.598,0.849]"
ChiralAldol-WtVote,0.7100,0.6327,0.7742,0.7481,0.7935,0.7935,0.9613,0.740,0.571,0.889,0.792,"[0.572,0.849]"
ChiralAldol+DRFP-XGB,0.6360,0.5905,0.7484,0.6577,0.7677,0.7742,0.9548,0.729,0.286,0.846,0.770,"[0.524,0.771]"
ChiralAldol-XGB,0.6644,0.4894,0.6387,0.6587,0.6710,0.6581,0.9484,0.658,0.571,0.839,0.567,"[0.545,0.793]"
SterOnly-XGB,0.5638,0.4992,0.6968,0.5480,0.7742,0.7806,0.8387,0.735,0.333,0.370,0.753,"[0.425,0.701]"
CondAux-XGB,0.5215,0.3435,0.5806,0.4955,0.6194,0.6129,0.9290,0.622,0.250,0.522,0.588,"[0.385,0.670]"
DRFP+Cond+XGBoost,0.7106,0.5105,0.6774,0.7105,0.6968,0.6903,0.9677,0.671,0.667,0.857,0.647,"[0.556,0.839]"
DRFP+Aux+Cond-XGB,0.7061,0.4961,0.6710,0.7136,0.6839,0.6839,0.9742,0.657,0.667,0.889,0.642,"[0.553,0.832]"
AuxChiral-XGB,0.5168,0.3343,0.5677,0.4879,0.6129,0.6000,0.9226,0.623,0.222,0.545,0.561,"[0.378,0.666]"
AuxChiral+Ald-XGB,0.5826,0.4786,0.6774,0.5531,0.7677,0.6839,0.9032,0.718,0.308,0.467,0.720,"[0.441,0.724]"
AuxChiral-LGBM,0.5244,0.3621,0.5806,0.4900,0.6258,0.6129,0.9226,0.624,0.267,0.480,0.589,"[0.392,0.669]"
CondOnly-XGB,0.1992,-0.0747,0.2387,0.1972,0.5484,0.3226,0.6065,0.364,0.111,0.028,0.286,"[0.113,0.325]"
AuxNoBase-XGB,0.5153,0.3312,0.5677,0.4863,0.6129,0.6065,0.9161,0.622,0.211,0.545,0.567,"[0.379,0.661]"
DRFP+XGBoost,0.5870,0.5697,0.7484,0.5981,0.7742,0.8323,0.8903,0.730,0.400,0.435,0.827,"[0.456,0.733]"
DRFP+LightGBM,0.5248,0.5225,0.7226,0.5430,0.7484,0.8258,0.8710,0.696,0.250,0.417,0.810,"[0.420,0.671]"
Chemprop+Cond,0.6251,0.5524,0.7226,0.6617,0.7548,0.7355,0.9548,0.716,0.333,0.880,0.717,"[0.519,0.762]"
Chemprop,0.4894,0.4204,0.6387,0.4628,0.7226,0.6903,0.8645,0.687,0.000,0.516,0.648,"[0.411,0.567]"
ProtoNet,0.6842,0.6011,0.7419,0.6700,0.7677,0.7935,0.9226,0.758,0.333,0.846,0.743,"[0.553,0.828]"
ChemAHNet-Aldol,0.4975,0.4393,0.6387,0.4548,0.6710,0.8000,0.8065,0.696,0.222,0.200,0.701,"[0.374,0.640]"
DistilBERT-Rxn,0.5910,0.5560,0.7161,0.5618,0.7871,0.8000,0.8452,0.783,0.133,0.581,0.750,"[0.491,0.724]"
RoBERTa-Rxn,0.4799,0.3671,0.4903,0.4260,0.5419,0.8516,0.5871,0.717,0.070,0.359,0.557,"[0.333,0.634]"
ChemBERTa-77M,0.4247,0.0897,0.4194,0.2917,0.5097,0.5226,0.8065,0.410,0.250,0.000,0.507,"[0.266,0.508]"
MolT5-base,0.2623,0.1245,0.3806,0.1570,0.4129,0.4710,0.8774,0.534,0.000,0.000,0.094,"[0.253,0.278]"
ChiENN-Product,0.2572,-0.0453,0.3355,0.1665,0.4000,0.5677,0.7032,0.070,0.071,0.000,0.525,"[0.147,0.414]"
EquiReact,0.3179,0.1773,0.5355,0.2444,0.5484,0.5613,0.9613,0.000,0.118,0.133,0.726,"[0.250,0.431]"
Morgan-MLP,0.4741,0.1143,0.4839,0.4998,0.5032,0.4968,0.9677,0.368,0.364,0.727,0.540,"[0.318,0.643]"
XGBoost-FullFP,0.3710,0.0215,0.4129,0.3963,0.4323,0.4323,0.9613,0.394,0.167,0.600,0.425,"[0.253,0.511]"
XGBoost,0.4181,0.1164,0.4774,0.4476,0.4903,0.5032,0.9613,0.435,0.182,0.667,0.506,"[0.299,0.547]"
LightGBM,0.3983,0.0631,0.4452,0.4290,0.4710,0.4581,0.9613,0.384,0.182,0.667,0.484,"[0.278,0.532]"
RF,0.3338,-0.0049,0.4000,0.3511,0.4129,0.4258,0.9613,0.388,0.143,0.444,0.430,"[0.213,0.458]"
RXNFP+XGBoost,0.3225,0.1453,0.3484,0.2913,0.5226,0.6516,0.5226,0.522,0.042,0.208,0.393,"[0.211,0.456]"
RXNFP+LightGBM,0.3150,0.1285,0.3419,0.2814,0.5290,0.6323,0.5226,0.472,0.045,0.192,0.416,"[0.209,0.451]"
RXNFP+MLP,0.3324,0.2152,0.5419,0.3176,0.6129,0.6000,0.8710,0.576,0.000,0.118,0.577,"[0.280,0.396]"
1-NN,0.3251,0.0317,0.4065,0.3212,0.4710,0.4452,0.8968,0.409,0.125,0.300,0.451,"[0.224,0.460]"
5-NN,0.3348,-0.0036,0.3935,0.3019,0.4258,0.4774,0.8839,0.385,0.250,0.125,0.448,"[0.211,0.485]"
MajorityClass,0.2500,0.0000,0.3548,0.1310,0.3871,0.4452,0.8774,0.524,0.000,0.000,0.000,"[0.250,0.250]"
Random,0.2864,-0.0225,0.2516,0.2075,0.5355,0.4839,0.4839,0.198,0.098,0.157,0.378,"[0.145,0.451]"
