group,n_feat,axis,base_gold,ablated_gold,gold_delta
steric,42,label_Ca,0.833134394859746,0.8349006545974054,0.0017662597376593148
steric,42,label_Cb,0.7745054950188328,0.6236723118476108,-0.15083318317122196
steric,42,label_joint,0.7001447605437376,0.5006114775003563,-0.19953328304338136
conditions,44,label_Ca,0.833134394859746,0.7423530042038642,-0.09078139065588187
conditions,44,label_Cb,0.7745054950188328,0.7939846108256473,0.019479115806814495
conditions,44,label_joint,0.7001447605437376,0.6406434998501876,-0.059501260693549995
auxiliary,23,label_Ca,0.833134394859746,0.8212266669499482,-0.011907727909797883
auxiliary,23,label_Cb,0.7745054950188328,0.7708442619228554,-0.003661233095977434
auxiliary,23,label_joint,0.7001447605437376,0.6940013622130672,-0.006143398330670458
chirality,10,label_Ca,0.833134394859746,0.827293511962772,-0.005840882896974042
chirality,10,label_Cb,0.7745054950188328,0.7812071820684328,0.006701687049599947
chirality,10,label_joint,0.7001447605437376,0.6829659061957547,-0.01717885434798294
rgroup,8,label_Ca,0.833134394859746,0.8253186668061469,-0.007815728053599202
rgroup,8,label_Cb,0.7745054950188328,0.7720887427878511,-0.0024167522309817002
rgroup,8,label_joint,0.7001447605437376,0.7124513852126809,0.012306624668943278
chiralenv,21,label_Ca,0.833134394859746,0.8270743240720538,-0.006060070787692218
chiralenv,21,label_Cb,0.7745054950188328,0.7611232949225861,-0.013382200096246688
chiralenv,21,label_joint,0.7001447605437376,0.6783223879626503,-0.021822372581087324
aldpri,8,label_Ca,0.833134394859746,0.8256442018235707,-0.007490193036175374
aldpri,8,label_Cb,0.7745054950188328,0.7176847757076541,-0.05682071931117871
aldpri,8,label_joint,0.7001447605437376,0.594773826133404,-0.10537093441033363
delta_chiral,19,label_Ca,0.833134394859746,0.8237257403196362,-0.009408654540109862
delta_chiral,19,label_Cb,0.7745054950188328,0.7787721340815245,0.004266639062691646
delta_chiral,19,label_joint,0.7001447605437376,0.6917391901534122,-0.008405570390325412
