feature,axis,real_imp,null_mean,null_p75,p_value,m1_noise
B1_mean,label_Ca,0.0025060209399882065,0.004444228522615558,0.004616135390479,1.0,True
B1_std,label_Ca,0.003159230285582222,0.004210619195267906,0.004420852642863862,1.0,True
B5_mean,label_Ca,0.0024742367713922555,0.0040843579358962115,0.004162045502378777,1.0,True
B5_std,label_Ca,0.0021328476482469897,0.0042211135978865175,0.004499300741077992,1.0,True
L_mean,label_Ca,0.0026450473394312632,0.005043226865328347,0.00518535581027018,1.0,True
L_std,label_Ca,0.002295698705825806,0.0049409398072498435,0.0052449464721491925,1.0,True
Vbur_diff_mean,label_Ca,0.0037945843835086816,0.004826531726520666,0.005062617904762339,1.0,True
Vbur_diff_std,label_Ca,0.004432265619410664,0.0045616941906779515,0.0047110305784552635,0.6666666666666666,True
Vbur_re_mean,label_Ca,0.004871515072172523,0.004711731716130634,0.004871056778325588,0.26666666666666666,True
Vbur_re_std,label_Ca,0.004301829939345893,0.004555105448899843,0.004664900282119684,0.8666666666666667,True
Vbur_si_mean,label_Ca,0.005187826123566284,0.004951414455998237,0.005225160928317721,0.3,True
Vbur_si_std,label_Ca,0.004179400673252707,0.004544052095136771,0.004704216707847429,0.9666666666666667,True
Vbur_total_mean,label_Ca,0.005079443288200664,0.004723957972511594,0.004857074518779115,0.06666666666666667,True
Vbur_total_std,label_Ca,0.004303703624864511,0.004971899650057139,0.005197830471983542,1.0,True
cos_tau1_mean,label_Ca,0.005548043555227844,0.004038016213800086,0.004167463853413093,0.0,False
cos_tau1_std,label_Ca,0.003856022844141744,0.004446365511735857,0.0046149891030797235,0.9333333333333333,True
cos_tau2_mean,label_Ca,0.004045965461763029,0.0036762600348724814,0.0039262423651451215,0.1,True
cos_tau2_std,label_Ca,0.004024497188471017,0.004410851152191217,0.004625973134182206,0.9,True
sin_tau1_mean,label_Ca,0.004245340765127725,0.004352971818376546,0.0045907866076691645,0.7,True
sin_tau1_std,label_Ca,0.005794133462790211,0.004332266576933505,0.004529185348600726,0.0,False
sin_tau2_mean,label_Ca,0.003409033967383286,0.004543453900095663,0.0046671098482344315,1.0,True
sin_tau2_std,label_Ca,0.0031832832338365173,0.004408254750256215,0.004713994974744903,1.0,True
n_conformers,label_Ca,0.0017280302815785907,0.0013493690587857527,0.0014334771896319784,0.06666666666666667,True
n_clusters,label_Ca,0.001548448334242245,0.0013580600803257993,0.0014334051812455184,0.13333333333333333,True
ald_L_mean,label_Ca,0.008688036395287058,0.02810597452719813,0.028641613690140302,1.0,True
ald_L_std,label_Ca,0.006696869919575833,0.021302153533349025,0.02194607424295899,1.0,True
ald_B1_mean,label_Ca,0.00822515339758163,0.02969273098172611,0.03056642832531729,1.0,True
ald_B1_std,label_Ca,0.007051693679849783,0.021538286606325858,0.022395991416894714,1.0,True
ald_B5_mean,label_Ca,0.009091553244529949,0.02788048629809743,0.02853356712468459,1.0,True
ald_B5_std,label_Ca,0.006949381832627818,0.021581343701698664,0.022213338022265345,1.0,True
ald_Vbur_total_mean,label_Ca,0.008994758181639372,0.02819759584333659,0.028743740976507542,1.0,True
ald_Vbur_total_std,label_Ca,0.006664853902219511,0.0215538511210094,0.022271790698453264,1.0,True
ald_n_conformers,label_Ca,0.006679252058301387,0.012337646615831836,0.012835593465159287,1.0,True
ald_n_clusters,label_Ca,0.006899950232114676,0.01240950970534057,0.01286864890647495,1.0,True
feat_DIPEA,label_Ca,0.009531663922265506,0.00756707533633067,0.008114408415043286,0.0,False
feat_Et3N,label_Ca,0.006129835005468638,0.006107569584614997,0.006710700102390146,0.6,True
feat_LiHMDS,label_Ca,0.0008713529394167968,0.00045616753705414405,0.0005162000996198982,0.03333333333333333,False
feat_NaHMDS,label_Ca,0.0004351367804178786,0.00010890384274389237,0.0001591342234718464,0.03333333333333333,False
feat_LDA,label_Ca,0.0,0.0,0.0,1.0,True
feat_KHMDS,label_Ca,0.0,0.0,0.0,1.0,True
feat_other_base,label_Ca,0.004062775532535322,0.0032374332032124773,0.0035084589060219054,0.0,False
feat_no_base,label_Ca,0.004013296114285285,0.004109348766037483,0.004576375135508328,0.7333333333333333,True
feat_base_pKa,label_Ca,0.007940649487821944,0.00832922786529976,0.008966338686806562,0.8,True
feat_base_steric_A,label_Ca,0.007885552305311743,0.008312577311935689,0.009002920621577565,0.7666666666666667,True
feat_base_nucleophilicity,label_Ca,0.00751950318225116,0.008326514920776882,0.008911662046475774,0.8,True
