feature,axis,gold_drop,full_drop,m2_noise
B1_mean,label_Ca,-0.00097670039167553,-0.0006201822213593967,True
B1_std,label_Ca,0.0021515585460892966,0.00024890692959292094,False
B5_mean,label_Ca,-0.004026416019335067,-0.0017777653990086932,True
B5_std,label_Ca,0.0010070921985815943,-0.00015042793493137477,False
L_mean,label_Ca,-0.0033704515456210236,-0.0021827145757817076,True
L_std,label_Ca,0.000737084670118224,0.0014733028176792385,False
Vbur_diff_mean,label_Ca,0.00018737852837210736,0.00026867791480417945,False
Vbur_diff_std,label_Ca,-0.0005036271117354875,-0.0028255842258079894,True
Vbur_re_mean,label_Ca,0.00017150684580260892,0.0007297109540511324,False
Vbur_re_std,label_Ca,-0.004084822643370386,-0.006849199452969006,True
Vbur_si_mean,label_Ca,-0.0018447302680306072,-0.0010285706895974908,True
Vbur_si_std,label_Ca,-0.003922218645084469,-0.003046933311872022,True
Vbur_total_mean,label_Ca,-0.0012743582492021897,0.00013614313232170616,True
Vbur_total_std,label_Ca,0.0020473521043020415,0.002282468538592903,False
cos_tau1_mean,label_Ca,0.0016206109843217161,0.0012349625319785758,False
cos_tau1_std,label_Ca,0.0024883813488376936,0.0017509802331029775,False
cos_tau2_mean,label_Ca,0.002217351327052878,0.0021446987080554524,False
cos_tau2_std,label_Ca,0.00205485540009025,0.0007282916084983088,False
sin_tau1_mean,label_Ca,-0.0017787530837010508,0.0012756072551366095,True
sin_tau1_std,label_Ca,5.3430000952662335e-05,-0.002257732565522853,False
sin_tau2_mean,label_Ca,-0.003444640598733854,-0.0016372487979741809,True
sin_tau2_std,label_Ca,-0.001578001363791883,-0.0007226459249346581,True
n_conformers,label_Ca,0.00025177304964540335,8.985923564338909e-05,False
n_clusters,label_Ca,6.483539748070151e-05,-0.00044353905085357554,False
ald_L_mean,label_Ca,-0.002508806314703101,-0.004627442471039888,True
ald_L_std,label_Ca,-0.0006352985966317752,-0.0021875025730096953,True
ald_B1_mean,label_Ca,-0.0007250114495712826,-0.003966061561427477,True
ald_B1_std,label_Ca,-0.002207697319231299,-0.0035408169670677727,True
ald_B5_mean,label_Ca,-0.0013462861634296382,-0.002268498939734367,True
ald_B5_std,label_Ca,-0.002767228200284331,-0.003472551183062961,True
ald_Vbur_total_mean,label_Ca,-0.002194292967037744,-0.002760508343137043,True
ald_Vbur_total_std,label_Ca,-0.0012596548336665854,-0.0017727510238783751,True
ald_n_conformers,label_Ca,-0.00850577055937111,-0.004787345516082132,True
ald_n_clusters,label_Ca,-0.004585376869025407,-0.0020552172453873084,True
feat_DIPEA,label_Ca,0.00035306184574458504,0.0038793666584012072,False
feat_Et3N,label_Ca,-0.0009229885489162733,0.0007437175670711565,True
feat_LiHMDS,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_NaHMDS,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_LDA,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_KHMDS,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_other_base,label_Ca,0.0005137613537389189,0.0009898733100461288,False
feat_no_base,label_Ca,0.0007352560288986851,-0.0021976030175152386,False
feat_base_pKa,label_Ca,0.003084866908641058,-0.0001785907174435247,False
feat_base_steric_A,label_Ca,-0.0035959684441441583,0.0005833336716114498,True
feat_base_nucleophilicity,label_Ca,-0.002175066974652219,-0.0007959817341506879,True
feat_metal_B,label_Ca,-0.0003649676147563007,-0.0007723393196244166,True
feat_metal_Cu,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_metal_Li,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_metal_Mg,label_Ca,0.0036109835046045547,0.0025809792113567175,False
feat_metal_Sn,label_Ca,0.0005352061833779457,0.0002981603831914181,False
feat_metal_Ti,label_Ca,-0.0003503397382038832,0.0001829799787666033,True
feat_metal_Zn,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_metal_Zr,label_Ca,5.891583517344164e-17,-7.765669974464433e-18,False
feat_metal_none,label_Ca,-0.0019533044218023356,-0.008361846217430913,True
feat_metal_unknown,label_Ca,5.891583517344164e-17,-0.00026556801383138617,False
feat_metal_coord_num,label_Ca,-0.006416518894196646,-0.006773995388614413,True
feat_metal_ionic_radius,label_Ca,-0.010256388230398315,-0.008247347940069736,True
feat_metal_hardness,label_Ca,-0.003933614974075746,-0.0011998610333713736,True
feat_solvent_alpha,label_Ca,-0.004572116669419919,-0.006995705426716936,True
