feature,m1_all,m2_all,noise
B1_mean,True,False,False
B1_std,True,False,False
B5_mean,True,False,False
B5_std,True,False,False
L_mean,True,False,False
L_std,True,False,False
Vbur_diff_mean,True,False,False
Vbur_diff_std,True,True,True
Vbur_re_mean,True,False,False
Vbur_re_std,True,False,False
Vbur_si_mean,True,False,False
Vbur_si_std,True,False,False
Vbur_total_mean,False,False,False
Vbur_total_std,True,False,False
cos_tau1_mean,False,False,False
cos_tau1_std,True,False,False
cos_tau2_mean,False,False,False
cos_tau2_std,True,False,False
sin_tau1_mean,True,False,False
sin_tau1_std,False,False,False
sin_tau2_mean,True,False,False
sin_tau2_std,True,False,False
n_conformers,False,False,False
n_clusters,False,False,False
ald_L_mean,True,False,False
ald_L_std,True,False,False
ald_B1_mean,True,False,False
ald_B1_std,True,False,False
ald_B5_mean,True,False,False
ald_B5_std,True,False,False
ald_Vbur_total_mean,True,False,False
ald_Vbur_total_std,True,False,False
ald_n_conformers,False,False,False
ald_n_clusters,False,False,False
feat_DIPEA,False,False,False
feat_Et3N,False,False,False
feat_LiHMDS,False,False,False
feat_NaHMDS,False,False,False
feat_LDA,True,False,False
feat_KHMDS,True,False,False
feat_other_base,False,False,False
feat_no_base,True,False,False
feat_base_pKa,True,False,False
feat_base_steric_A,True,False,False
feat_base_nucleophilicity,True,False,False
feat_metal_B,True,False,False
feat_metal_Cu,True,False,False
feat_metal_Li,False,False,False
feat_metal_Mg,False,False,False
feat_metal_Sn,False,False,False
feat_metal_Ti,False,False,False
feat_metal_Zn,True,False,False
feat_metal_Zr,True,False,False
feat_metal_none,False,True,False
feat_metal_unknown,False,False,False
feat_metal_coord_num,False,False,False
feat_metal_ionic_radius,False,True,False
feat_metal_hardness,False,False,False
feat_solvent_alpha,False,False,False
feat_solvent_beta,False,False,False
feat_solvent_pi_star,False,False,False
feat_solvent_ET30,False,False,False
feat_solvent_epsilon,True,True,True
feat_solvent_viscosity,True,False,False
feat_solvent_bp,True,False,False
feat_solvent_known,True,False,False
feat_act_Bu2BOTf,False,False,False
feat_act_Chx2BCl,False,False,False
feat_act_Ipc2BCl,True,False,False
feat_act_9BBN_OTf,True,False,False
feat_act_TiCl4,False,False,False
feat_act_Sn_OTf2,False,False,False
feat_act_MgCl2,False,False,False
feat_act_BF3_OEt2,True,False,False
feat_act_other_activator,True,False,False
feat_temperature_c,True,False,False
feat_time_h,True,False,False
feat_yield_pct,True,False,False
aux_evans,False,False,False
aux_crimmins_thione,False,False,False
aux_crimmins_oxathione,False,False,False
aux_oppolzer,False,False,False
aux_myers,False,False,False
aux_abiko,False,True,False
aux_super_quat,True,False,False
aux_menthyl_ester,True,False,False
aux_oxazoline,False,False,False
aux_has_thio,False,False,False
aux_has_sulfur_in_ring,False,False,False
aux_is_bicyclic,False,False,False
aux_is_ester,False,False,False
aux_is_acyclic,False,False,False
aux_is_oxazoline,False,True,False
n_defined_stereocenters,True,False,False
chiral_dominant_sign,False,False,False
chiral_primary_cip_R,False,True,False
chiral_n_defined,False,False,False
chiral_sum_signs,False,False,False
chiral_aux_c4_R,False,False,False
chiral_aux_c4_match,False,False,False
chiral_aux_mw,True,False,False
aux_rg_benzyl,False,False,False
aux_rg_isopropyl,False,False,False
aux_rg_phenyl,True,True,True
aux_rg_tert_butyl,False,False,False
aux_rg_methyl,False,False,False
aux_rg_indanyl,True,False,False
aux_rg_other,False,False,False
chiralenv_ket_n_stereo_3bond,False,False,False
chiralenv_ket_n_stereo_4bond,False,False,False
chiralenv_ket_n_stereo_5bond,False,False,False
chiralenv_ket_chirality_gradient,False,False,False
chiralenv_ket_nearest_chiral_sign,False,False,False
chiralenv_ket_nearest_chiral_dist,False,False,False
chiralenv_ket_alpha_is_chiral,False,False,False
chiralenv_ket_alpha_chiral_sign,False,False,False
chiralenv_ket_chirality_product_3bond,False,False,False
chiralenv_ket_nearest_pair_relation,False,False,False
chiralenv_ket_n_total_stereo,False,False,False
chiralenv_ket_mw,True,False,False
chiralenv_ket_n_heavy,True,False,False
chiralenv_ket_frac_sp3,True,False,False
chiralenv_ket_aux_ring_size,False,False,False
chiralenv_ald_n_stereo,True,False,False
chiralenv_ald_chirality_sum,True,False,False
chiralenv_ald_chirality_product,True,False,False
chiralenv_ald_mw,True,False,False
chiralenv_ald_n_heavy,True,True,True
chiralenv_ald_frac_sp3,True,False,False
ald_pri_is_aromatic,False,False,False
ald_pri_alpha_branching,False,False,False
ald_pri_max_atomic_num,False,False,False
ald_pri_has_halogen,True,False,False
ald_pri_has_heteroatom,False,False,False
ald_pri_n_rings,True,False,False
ald_pri_chain_length,True,False,False
ald_pri_priority_proxy,False,False,False
delta_chiral_0,False,False,False
delta_chiral_1,False,False,False
delta_chiral_2,False,False,False
delta_chiral_3,False,True,False
delta_chiral_4,False,False,False
delta_chiral_5,False,False,False
delta_chiral_6,True,False,False
delta_chiral_7,False,False,False
delta_chiral_8,True,False,False
delta_chiral_9,True,False,False
delta_chiral_10,True,False,False
delta_chiral_11,True,False,False
delta_chiral_12,True,False,False
delta_chiral_13,True,False,False
delta_chiral_14,False,False,False
delta_chiral_15,True,False,False
chiral_det_mean,False,False,False
chiral_det_max,False,False,False
chiral_det_abs_sum,True,False,False
